,Location,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,state,city,Asian/NHPI Alone and in Combination
323,"Gardnerville Ranchos, NV Micro Area",49488.0,6141.0,41065.0,2282.0,39944.933,292.317,1171.683,513.783,1265.85,158.433,NV,Gardnerville Ranchos,1330.116
324,"Georgetown, SC Micro Area",63404.0,2225.0,59763.0,1416.0,41816.533,18317.617,319.7,258.75,428.283,38.117,SC,Georgetown,357.817
325,"Gettysburg, PA Metro Area",103852.0,7790.0,92883.0,3179.0,91471.167,1916.167,1179.583,633.817,797.0,64.267,PA,Gettysburg,1243.8500000000001
326,"Gillette, WY Micro Area",61045.0,4690.0,53998.0,2357.0,53622.75,378.333,485.333,543.583,1263.5,61.5,WY,Gillette,546.8330000000001
327,"Glasgow, KY Micro Area",54771.0,2119.0,50819.0,1833.0,49305.917,2115.667,303.917,355.917,509.667,60.917,KY,Glasgow,364.83399999999995
328,"Glens Falls, NY Metro Area",127039.0,3513.0,117893.0,5633.0,116640.467,2770.217,1266.967,1291.583,1503.967,52.8,NY,Glens Falls,1319.767
329,"Glenwood Springs, CO Micro Area",79043.0,21456.0,54885.0,2702.0,54370.783,533.617,916.617,810.5,875.533,79.95,CO,Glenwood Springs,996.567
330,"Gloversville, NY Micro Area",53324.0,2134.0,48613.0,2577.0,48287.65,1206.317,447.15,634.483,604.233,10.167,NY,Gloversville,457.31699999999995
331,"Goldsboro, NC Metro Area",117333.0,14927.0,97930.0,4476.0,62096.417,36430.517,1938.0,754.317,1054.833,131.917,NC,Goldsboro,2069.917
332,"Granbury, TX Micro Area",61598.0,7958.0,51351.0,2289.0,50935.917,650.583,585.5,407.417,981.333,79.25,TX,Granbury,664.75
333,"Grand Forks, ND-MN Metro Area",104362.0,5656.0,94204.0,4502.0,87399.617,4431.7,3071.283,648.7,3032.783,121.917,MN,Grand Forks,3193.2
334,"Grand Island, NE Metro Area",77038.0,19699.0,55591.0,1748.0,53354.083,2063.917,858.417,406.083,614.583,41.917,NE,Grand Island,900.3340000000001
335,"Grand Junction, CO Metro Area",155703.0,23278.0,125392.0,7033.0,124147.95,1425.283,2160.367,1899.583,2473.533,318.283,CO,Grand Junction,2478.65
336,"Grand Rapids, MN Micro Area",45014.0,618.0,42109.0,2287.0,41280.083,289.283,239.533,394.7,2174.283,18.117,MN,Grand Rapids,257.65
337,"Grand Rapids-Kentwood, MI Metro Area",1087592.0,110671.0,933153.0,43768.0,844100.7,79950.767,34111.683,8286.6,9796.517,674.733,MI,Grand Rapids-Kentwood,34786.416
338,"Grants, NM Micro Area",27172.0,8644.0,17963.0,565.0,5767.75,301.583,238.417,224.5,11972.833,22.917,NM,Grants,261.334
339,"Grants Pass, OR Metro Area",88090.0,7037.0,75467.0,5586.0,75403.617,641.75,1309.033,1119.033,2303.783,275.783,OR,Grants Pass,1584.8159999999998
340,"Great Bend, KS Micro Area",25493.0,4127.0,20440.0,926.0,20363.333,386.333,106.333,166.833,339.5,3.667,KS,Great Bend,110.0
341,"Great Falls, MT Metro Area",84414.0,4012.0,75058.0,5344.0,71306.983,1482.567,1310.9,916.833,5193.483,191.233,MT,Great Falls,1502.133
342,"Greeley, CO Metro Area",328981.0,98462.0,218652.0,11867.0,211544.4,5040.4,6985.817,2823.0,3584.4,540.983,CO,Greeley,7526.8
343,"Green Bay, WI Metro Area",328268.0,27898.0,288230.0,12140.0,269316.4,9938.233,9393.067,2003.833,9518.65,199.817,WI,Green Bay,9592.883999999998
344,"Greeneville, TN Micro Area",70152.0,2535.0,65100.0,2517.0,64348.6,1596.683,395.6,411.483,828.017,36.617,TN,Greeneville,432.21700000000004
345,"Greensboro-High Point, NC Metro Area",776566.0,77289.0,670878.0,28399.0,440075.5,211449.5,33464.917,5552.867,8251.917,482.3,NC,Greensboro-High Point,33947.217000000004
346,"Greensburg, IN Micro Area",26472.0,614.0,25095.0,763.0,25137.633,164.133,178.217,114.083,249.133,14.8,IN,Greensburg,193.01700000000002
347,"Greenville, MS Micro Area",44922.0,584.0,43523.0,815.0,11521.833,32180.5,326.333,118.833,176.0,14.5,MS,Greenville,340.833
348,"Greenville, NC Metro Area",170243.0,12968.0,151046.0,6229.0,89451.667,61449.5,3593.917,1119.0,1515.833,145.083,NC,Greenville,3739.0
349,"Greenville, OH Micro Area",51881.0,859.0,49717.0,1305.0,49633.333,460.667,223.333,239.833,431.667,33.167,OH,Greenville,256.5
350,"Greenville-Anderson, SC Metro Area",928195.0,78318.0,813869.0,36008.0,664549.883,148214.517,20852.317,6557.283,8885.433,817.567,SC,Greenville-Anderson,21669.884
351,"Greenwood, MS Micro Area",38337.0,994.0,36639.0,704.0,12795.667,24039.667,264.667,90.333,143.667,9.0,MS,Greenwood,273.667
352,"Greenwood, SC Micro Area",69351.0,4749.0,62451.0,2151.0,41595.15,21296.817,800.067,340.067,510.733,59.167,SC,Greenwood,859.234
353,"Grenada, MS Micro Area",21629.0,310.0,20751.0,568.0,11512.167,9482.833,104.833,69.0,145.333,4.833,MS,Grenada,109.666
354,"Guayama, PR Metro Area",68442.0,67957.0,431.0,54.0,300.5,67.333,29.667,75.167,8.833,3.5,0,Guayama,33.167
355,"Gulfport-Biloxi, MS Metro Area",416259.0,26388.0,370164.0,19707.0,278032.25,91323.917,11406.217,3073.883,5436.0,598.733,MS,Gulfport-Biloxi,12004.95
356,"Guymon, OK Micro Area",21384.0,10823.0,9916.0,645.0,8556.583,1036.417,480.917,120.167,355.833,11.083,OK,Guymon,492.0
357,"Hagerstown-Martinsburg, MD-WV Metro Area",293844.0,17418.0,260724.0,15702.0,235002.267,29945.183,5577.933,2479.567,3198.733,222.317,MD,Hagerstown-Martinsburg,5800.25
358,"Hailey, ID Micro Area",25349.0,5080.0,19398.0,871.0,19377.917,84.2,297.867,286.783,187.867,34.367,ID,Hailey,332.23400000000004
359,"Hammond, LA Metro Area",133157.0,7242.0,121345.0,4570.0,81895.433,40569.35,1160.6,831.017,1388.35,70.25,LA,Hammond,1230.85
360,"Hanford-Corcoran, CA Metro Area",152486.0,86607.0,60906.0,4973.0,46448.283,9007.867,6391.867,1093.95,2374.617,562.417,CA,Hanford-Corcoran,6954.284000000001
361,"Hannibal, MO Micro Area",38880.0,612.0,36552.0,1716.0,35463.95,1748.283,246.117,290.75,476.2,42.7,MO,Hannibal,288.817
362,"Harrisburg-Carlisle, PA Metro Area",591712.0,44138.0,524081.0,23493.0,440736.017,64408.35,33314.517,4830.833,3862.933,421.35,PA,Harrisburg-Carlisle,33735.867
363,"Harrison, AR Micro Area",44598.0,1055.0,41230.0,2313.0,41539.567,180.583,327.983,305.567,1150.15,39.15,AR,Harrison,367.133
364,"Harrisonburg, VA Metro Area",135571.0,19138.0,112123.0,4310.0,104835.0,6442.583,3555.417,731.083,792.25,76.667,VA,Harrisonburg,3632.084
365,"Hartford-East Hartford-Middletown, CT Metro Area",1213531.0,187902.0,981855.0,43774.0,794282.083,139300.867,71229.117,13402.883,6773.083,640.967,CT,Hartford-East Hartford-Middletown,71870.084
366,"Hastings, NE Micro Area",31205.0,3659.0,26636.0,910.0,26221.5,354.917,478.833,162.083,305.833,22.833,NE,Hastings,501.66600000000005
367,"Hattiesburg, MS Metro Area",172231.0,6192.0,160822.0,5217.0,109250.017,51960.1,2329.017,975.033,1380.267,144.567,MS,Hattiesburg,2473.584
368,"Hays, KS Micro Area",28934.0,2016.0,25839.0,1079.0,25577.0,467.833,381.167,180.667,250.0,61.333,KS,Hays,442.5
369,"Heber, UT Micro Area",77145.0,9783.0,65087.0,2275.0,64357.517,452.6,1392.5,575.517,425.1,158.767,UT,Heber,1551.267
370,"Helena, MT Micro Area",83058.0,2890.0,75638.0,4530.0,75197.467,491.883,885.467,902.717,2584.217,106.25,MT,Helena,991.717
371,"Helena-West Helena, AR Micro Area",16568.0,264.0,15971.0,333.0,5680.783,10398.033,70.283,48.083,100.533,6.283,AR,Helena-West Helena,76.566
372,"Henderson, NC Micro Area",42578.0,3717.0,37818.0,1043.0,16669.583,21401.817,353.983,159.233,259.9,16.483,NC,Henderson,370.466
373,"Hereford, TX Micro Area",18583.0,13925.0,4471.0,187.0,4323.583,130.583,50.083,60.833,91.833,1.083,TX,Hereford,51.166
374,"Hermiston-Pendleton, OR Micro Area",92261.0,27610.0,60883.0,3768.0,58133.9,907.817,954.817,741.317,3694.733,218.417,OR,Hermiston-Pendleton,1173.234
375,"Hickory-Lenoir-Morganton, NC Metro Area",365276.0,31320.0,319883.0,14073.0,290168.733,25639.983,11697.983,2077.917,4111.817,259.567,NC,Hickory-Lenoir-Morganton,11957.55
376,"Hillsdale, MI Micro Area",45746.0,1172.0,42803.0,1771.0,43012.333,322.333,261.5,350.833,607.5,19.5,MI,Hillsdale,281.0
377,"Hilo, HI Micro Area",200629.0,22275.0,132032.0,46322.0,79188.3,1957.483,53008.383,1705.633,2642.55,39851.65,HI,Hilo,92860.033
378,"Hilton Head Island-Bluffton, SC Metro Area",215908.0,28490.0,180770.0,6648.0,142764.167,38316.25,3132.0,1409.25,1563.5,232.833,SC,Hilton Head Island-Bluffton,3364.833
379,"Hinesville, GA Metro Area",81424.0,9765.0,66829.0,4830.0,34732.183,32684.267,1920.017,733.5,928.517,660.517,GA,Hinesville,2580.534
380,"Hobbs, NM Micro Area",74455.0,45193.0,27700.0,1562.0,24506.333,2682.167,715.0,466.167,851.0,41.333,NM,Hobbs,756.333
381,"Holland, MI Micro Area",120502.0,9389.0,106387.0,4726.0,105373.6,1979.517,1122.767,1039.933,1549.35,47.833,MI,Holland,1170.6000000000001
382,"Homosassa Springs, FL Metro Area",153843.0,9241.0,138806.0,5796.0,134238.983,4534.233,2747.067,1251.067,1729.083,101.567,FL,Homosassa Springs,2848.634
383,"Hood River, OR Micro Area",23977.0,7148.0,15664.0,1165.0,15494.05,108.1,538.05,283.717,342.383,62.7,OR,Hood River,600.75
384,"Hope, AR Micro Area",28375.0,3307.0,24092.0,976.0,16147.333,8279.667,163.0,122.5,343.667,11.833,AR,Hope,174.833
385,"Hot Springs, AR Metro Area",100180.0,7047.0,87224.0,5909.0,80019.367,8879.7,1192.0,781.95,2149.867,110.117,AR,Hot Springs,1302.117
386,"Houghton, MI Micro Area",39407.0,696.0,37278.0,1433.0,36496.917,391.667,958.667,335.25,491.167,37.333,MI,Houghton,996.0
387,"Houma-Thibodaux, LA Metro Area",207137.0,13030.0,185932.0,8175.0,143114.35,36988.15,2377.017,944.1,10572.767,110.617,LA,Houma-Thibodaux,2487.634
388,"Houston-The Woodlands-Sugar Land, TX Metro Area",7122240.0,2669503.0,4249597.0,203140.0,2486944.05,1242947.15,615059.983,55716.6,44592.0,7477.217,TX,Houston-The Woodlands-Sugar Land,622537.2
389,"Hudson, NY Micro Area",61570.0,3542.0,55073.0,2955.0,52174.75,2853.833,1597.917,804.5,554.333,42.667,NY,Hudson,1640.5839999999998
390,"Huntingdon, PA Micro Area",44092.0,852.0,42055.0,1185.0,39993.333,2425.083,255.75,261.917,288.583,15.333,PA,Huntingdon,271.083
391,"Huntington, IN Micro Area",36662.0,1050.0,34488.0,1124.0,34421.25,317.167,216.083,204.25,439.167,14.083,IN,Huntington,230.166
392,"Huntington-Ashland, WV-KY-OH Metro Area",359862.0,4595.0,342636.0,12631.0,335990.583,10325.983,3281.483,1778.567,3753.817,136.567,WV,Huntington-Ashland,3418.05
393,"Huntsville, AL Metro Area",491723.0,32184.0,434612.0,24927.0,324432.05,108130.55,14513.1,3708.05,7947.883,807.367,AL,Huntsville,15320.467
394,"Huntsville, TX Micro Area",76400.0,16578.0,57939.0,1883.0,40699.167,16682.5,1206.167,473.667,695.0,65.5,TX,Huntsville,1271.667
395,"Huron, SD Micro Area",20812.0,2815.0,17466.0,531.0,15161.083,222.25,2102.25,71.5,371.25,68.667,SD,Huron,2170.917
396,"Hutchinson, KS Micro Area",61898.0,6096.0,53004.0,2798.0,51671.667,2153.25,460.0,398.833,1053.0,65.25,KS,Hutchinson,525.25
397,"Hutchinson, MN Micro Area",36771.0,2555.0,33208.0,1008.0,33043.083,321.25,310.5,223.583,282.25,35.333,MN,Hutchinson,345.83299999999997
398,"Idaho Falls, ID Metro Area",157429.0,20484.0,132389.0,4556.0,130906.033,1001.95,2036.617,980.2,1696.7,323.5,ID,Idaho Falls,2360.117
399,"Indiana, PA Micro Area",83246.0,1476.0,79214.0,2556.0,76955.317,2712.317,945.817,544.867,589.317,22.367,PA,Indiana,968.184
400,"Indianapolis-Carmel-Anderson, IN Metro Area",2111040.0,177787.0,1847557.0,85696.0,1478235.05,330266.45,88671.367,16890.85,17614.783,1574.5,IN,Indianapolis-Carmel-Anderson,90245.867
401,"Indianola, MS Micro Area",25971.0,661.0,24946.0,364.0,6870.5,18199.5,95.333,64.333,71.167,9.167,MS,Indianola,104.5
402,"Iowa City, IA Metro Area",175419.0,11810.0,156809.0,6800.0,137645.25,13839.083,9551.917,1471.917,990.417,110.417,IA,Iowa City,9662.333999999999
403,"Iron Mountain, MI-WI Micro Area",30505.0,506.0,28925.0,1074.0,29012.867,136.867,207.7,207.667,421.533,12.367,WI,Iron Mountain,220.06699999999998
404,"Ithaca, NY Metro Area",105740.0,7077.0,92403.0,6260.0,79670.617,5126.1,11355.367,1415.8,1009.533,85.583,NY,Ithaca,11440.95
405,"Jackson, MI Metro Area",160366.0,6184.0,145975.0,8207.0,135004.833,14011.8,1811.55,1252.467,2039.8,61.55,MI,Jackson,1873.1
406,"Jackson, MS Metro Area",591978.0,16433.0,561885.0,13660.0,275792.783,284713.267,8800.6,2480.65,3493.683,264.017,MS,Jackson,9064.617
407,"Jackson, OH Micro Area",32653.0,306.0,31233.0,1114.0,31371.75,272.917,129.917,154.167,408.417,9.833,OH,Jackson,139.75
408,"Jackson, TN Metro Area",180504.0,8187.0,166337.0,5980.0,118446.15,49501.9,1799.817,1025.733,1478.4,65.0,TN,Jackson,1864.817
409,"Jackson, WY-ID Micro Area",34961.0,5315.0,28550.0,1096.0,28418.5,101.667,515.833,358.333,230.5,21.167,WY,Jackson,537.0
410,"Jacksonville, FL Metro Area",1605848.0,163852.0,1368096.0,73900.0,986011.75,346490.917,75205.45,16769.15,14807.75,2710.983,FL,Jacksonville,77916.43299999999
411,"Jacksonville, IL Micro Area",37864.0,886.0,35640.0,1338.0,33862.583,2243.833,320.917,222.75,298.25,29.667,IL,Jacksonville,350.58399999999995
412,"Jacksonville, NC Metro Area",204576.0,27641.0,163890.0,13045.0,135074.067,29392.733,6048.617,2067.367,3215.317,1136.9,NC,Jacksonville,7185.517
413,"Jacksonville, TX Micro Area",50412.0,11797.0,36986.0,1629.0,30870.683,6629.517,317.933,245.917,526.433,24.517,TX,Jacksonville,342.45
414,"Jamestown, ND Micro Area",21593.0,593.0,20409.0,591.0,19792.267,514.267,171.933,71.833,436.6,13.1,ND,Jamestown,185.033
415,"Jamestown-Dunkirk-Fredonia, NY Micro Area",127657.0,11769.0,110659.0,5229.0,108576.367,3676.033,989.617,1108.25,1463.117,74.617,NY,Jamestown-Dunkirk-Fredonia,1064.234
416,"Janesville-Beloit, WI Metro Area",163687.0,15800.0,140837.0,7050.0,133165.083,9444.167,2465.917,1231.833,1475.583,104.417,WI,Janesville-Beloit,2570.334
417,"Jasper, AL Micro Area",65342.0,2152.0,60891.0,2299.0,57505.65,4198.917,336.067,301.15,835.817,12.4,AL,Jasper,348.467
418,"Jasper, IN Micro Area",55887.0,4326.0,50485.0,1076.0,50318.0,330.333,318.917,241.25,330.0,22.5,IN,Jasper,341.417
419,"Jayuya, PR Micro Area",14779.0,14703.0,75.0,1.0,55.0,9.0,3.0,8.5,0.0,0.5,0,Jayuya,3.5
420,"Jefferson, GA Micro Area",75907.0,6712.0,66395.0,2800.0,60394.067,5525.317,1950.567,488.117,791.317,45.617,GA,Jefferson,1996.184
421,"Jefferson City, MO Metro Area",150309.0,4615.0,138825.0,6869.0,129586.583,11323.567,1573.617,1103.567,1932.067,174.6,MO,Jefferson City,1748.2169999999999
422,"Jennings, LA Micro Area",32250.0,734.0,30354.0,1162.0,25364.05,5445.883,149.217,209.983,327.467,19.4,LA,Jennings,168.61700000000002
423,"Jesup, GA Micro Area",30144.0,1732.0,27542.0,870.0,21687.667,6051.75,222.75,192.833,245.417,11.583,GA,Jesup,234.333
424,"Johnson City, TN Metro Area",207285.0,8424.0,190351.0,8510.0,184638.983,7389.567,2673.9,1364.75,2682.067,111.733,TN,Johnson City,2785.6330000000003
425,"Johnstown, PA Metro Area",133472.0,2465.0,126260.0,4747.0,121610.483,6591.65,921.65,937.567,877.983,67.667,PA,Johnstown,989.317
426,"Jonesboro, AR Metro Area",134196.0,7556.0,120888.0,5752.0,100990.917,21195.333,1980.083,757.167,1618.5,98.0,AR,Jonesboro,2078.083
427,"Joplin, MO Metro Area",181409.0,14984.0,154012.0,12413.0,149955.767,3854.267,2738.017,1415.733,7098.683,1362.533,MO,Joplin,4100.549999999999
428,"Juneau, AK Micro Area",32255.0,2077.0,26136.0,4042.0,21399.533,503.5,2584.567,370.45,4756.183,563.767,AK,Juneau,3148.334
429,"Kahului-Wailuku-Lahaina, HI Metro Area",164754.0,16914.0,116408.0,31432.0,61660.567,1600.933,53460.267,1412.3,1685.183,28020.75,HI,Kahului-Wailuku-Lahaina,81481.01699999999
430,"Kalamazoo-Portage, MI Metro Area",261670.0,14776.0,232340.0,14554.0,200174.417,32797.667,8038.0,2665.0,3069.75,149.167,MI,Kalamazoo-Portage,8187.167
431,"Kalispell, MT Micro Area",104357.0,3329.0,95855.0,5173.0,95942.417,467.417,1099.333,1111.917,2250.0,156.917,MT,Kalispell,1256.25
432,"Kankakee, IL Metro Area",107502.0,12520.0,90635.0,4347.0,75616.0,16300.333,1275.0,863.167,887.75,39.75,IL,Kankakee,1314.75
433,"Kansas City, MO-KS Metro Area",2192035.0,229233.0,1846992.0,115810.0,1554250.567,276524.4,75975.9,18998.533,31124.917,5927.683,KS,Kansas City,81903.583
434,"Kapaa, HI Micro Area",73298.0,7394.0,50314.0,15590.0,27120.283,576.383,25781.117,510.317,753.867,11162.033,HI,Kapaa,36943.149999999994
435,"Kearney, NE Micro Area",56772.0,5447.0,49750.0,1575.0,48936.667,756.2,774.7,304.033,499.367,54.033,NE,Kearney,828.7330000000001
436,"Keene, NH Micro Area",76458.0,1802.0,71476.0,3180.0,70798.317,866.067,1302.067,747.083,857.067,85.4,NH,Keene,1387.467
437,"Kendallville, IN Micro Area",47457.0,5250.0,40851.0,1356.0,40896.083,316.083,329.917,254.5,394.833,15.583,IN,Kendallville,345.5
438,"Kennett, MO Micro Area",28283.0,2042.0,25022.0,1219.0,22203.0,3436.167,89.667,164.667,329.833,17.667,MO,Kennett,107.334
439,"Kennewick-Richland, WA Metro Area",303622.0,101784.0,188953.0,12885.0,178997.567,5339.483,9642.567,2740.667,3998.567,1119.15,WA,Kennewick-Richland,10761.716999999999
440,"Kerrville, TX Micro Area",52598.0,13598.0,37439.0,1561.0,36548.167,792.75,661.333,402.583,533.583,61.583,TX,Kerrville,722.9159999999999
441,"Ketchikan, AK Micro Area",13948.0,650.0,11822.0,1476.0,8891.467,159.6,1253.467,169.3,2766.133,58.033,AK,Ketchikan,1311.5
442,"Key West, FL Micro Area",82874.0,19432.0,61022.0,2420.0,55863.1,4796.683,1372.683,741.083,565.35,103.1,FL,Key West,1475.783
443,"Kill Devil Hills, NC Micro Area",36915.0,2554.0,33108.0,1253.0,32530.533,826.367,353.033,262.333,364.7,24.033,NC,Kill Devil Hills,377.06600000000003
444,"Killeen-Temple, TX Metro Area",475367.0,114128.0,333396.0,27843.0,229697.75,99468.833,16141.5,4458.867,5954.383,5517.667,TX,Killeen-Temple,21659.167
445,"Kingsport-Bristol, TN-VA Metro Area",307614.0,6038.0,290842.0,10734.0,286869.6,7020.433,2443.35,1594.3,3519.683,128.633,TN,Kingsport-Bristol,2571.9829999999997
446,"Kingston, NY Metro Area",181851.0,21119.0,152194.0,8538.0,140673.883,11643.133,4394.133,2410.033,1504.3,106.517,NY,Kingston,4500.65
447,"Kingsville, TX Micro Area",31390.0,22181.0,8771.0,438.0,7009.7,1038.867,825.783,161.167,167.533,5.95,TX,Kingsville,831.7330000000001
448,"Kinston, NC Micro Area",55122.0,4365.0,49239.0,1518.0,27214.283,22432.867,414.783,211.583,442.783,40.7,NC,Kinston,455.483
449,"Kirksville, MO Micro Area",29346.0,708.0,27534.0,1104.0,25966.833,1404.25,804.25,148.583,291.75,22.333,MO,Kirksville,826.583
450,"Klamath Falls, OR Micro Area",69413.0,8772.0,56163.0,4478.0,54048.233,731.067,1069.817,869.117,3716.317,206.45,OR,Klamath Falls,1276.267
451,"Knoxville, TN Metro Area",879773.0,44667.0,796911.0,38195.0,745220.333,54625.417,17399.467,5991.05,11179.983,689.75,TN,Knoxville,18089.217
452,"Kokomo, IN Metro Area",83658.0,3060.0,76447.0,4151.0,70445.367,7312.867,1222.117,584.117,983.667,49.867,IN,Kokomo,1271.984
453,"Laconia, NH Micro Area",63705.0,1261.0,59941.0,2503.0,59926.75,474.667,740.833,521.0,749.083,31.667,NH,Laconia,772.5
454,"La Crosse-Onalaska, WI-MN Metro Area",139627.0,3294.0,131782.0,4551.0,125290.6,2775.933,6114.767,915.533,1170.233,65.933,WI,La Crosse-Onalaska,6180.7
455,"Lafayette, LA Metro Area",478384.0,25496.0,438729.0,14159.0,316291.983,120017.7,9904.15,2912.817,3553.317,208.033,LA,Lafayette,10112.182999999999
456,"Lafayette-West Lafayette, IN Metro Area",223716.0,20292.0,192291.0,11133.0,170004.9,12538.983,15963.65,1738.5,1700.317,1477.65,IN,Lafayette-West Lafayette,17441.3
457,"La Grande, OR Micro Area",26196.0,1347.0,23272.0,1577.0,22824.783,225.117,305.117,348.667,610.45,534.867,OR,La Grande,839.9839999999999
458,"LaGrange, GA-AL Micro Area",104198.0,4193.0,96905.0,3100.0,58106.583,38337.25,2129.833,569.333,785.333,76.667,AL,LaGrange,2206.5
459,"Lake Charles, LA Metro Area",222402.0,11581.0,202919.0,7902.0,145655.717,56665.217,4267.383,1721.4,2295.467,215.817,LA,Lake Charles,4483.2
460,"Lake City, FL Micro Area",69698.0,5063.0,61962.0,2673.0,50342.75,11924.833,976.25,531.217,817.083,42.867,FL,Lake City,1019.117
461,"Lake Havasu City-Kingman, AZ Metro Area",213267.0,34126.0,169936.0,9205.0,164529.183,2684.017,3326.933,1874.017,6130.517,596.333,AZ,Lake Havasu City-Kingman,3923.266
462,"Lakeland-Winter Haven, FL Metro Area",725046.0,187695.0,512359.0,24992.0,403689.983,105534.65,14918.067,6630.033,5999.567,578.7,FL,Lakeland-Winter Haven,15496.767
463,"Lamesa, TX Micro Area",12456.0,6767.0,5537.0,152.0,4657.017,869.683,62.85,40.333,53.35,5.767,TX,Lamesa,68.617
464,"Lancaster, PA Metro Area",552984.0,61171.0,476642.0,15171.0,447752.733,22387.6,15350.633,3490.817,2582.567,248.65,PA,Lancaster,15599.283
465,"Lansing-East Lansing, MI Metro Area",541297.0,36913.0,477907.0,26477.0,421321.683,48937.35,22932.85,4779.833,6050.85,361.433,MI,Lansing-East Lansing,23294.283
466,"Laramie, WY Micro Area",37066.0,3910.0,31496.0,1660.0,30387.5,506.583,1228.0,395.5,585.167,53.25,WY,Laramie,1281.25
467,"Laredo, TX Metro Area",267114.0,254354.0,12201.0,559.0,9743.917,835.783,1350.867,582.117,206.283,41.033,TX,Laredo,1391.8999999999999
468,"Las Cruces, NM Metro Area",219561.0,147672.0,67796.0,4093.0,61599.4,3631.733,2923.617,1297.9,2233.983,202.367,NM,Las Cruces,3125.9840000000004
469,"Las Vegas, NM Micro Area",31390.0,23791.0,7075.0,524.0,6451.917,311.783,178.117,249.367,388.867,18.95,NM,Las Vegas,197.06699999999998
470,"Las Vegas-Henderson-Paradise, NV Metro Area",2265461.0,701416.0,1440030.0,124015.0,941888.883,296234.1,257287.717,21431.667,20192.7,27009.933,NV,Las Vegas-Henderson-Paradise,284297.65
471,"Laurel, MS Micro Area",83613.0,4308.0,77539.0,1766.0,50008.9,27864.567,366.567,299.4,732.167,33.4,MS,Laurel,399.967
472,"Laurinburg, NC Micro Area",34174.0,1106.0,31512.0,1556.0,14886.617,13389.283,378.867,161.417,4226.117,25.7,NC,Laurinburg,404.567
473,"Lawrence, KS Metro Area",118785.0,8295.0,103228.0,7262.0,93674.833,6255.333,5347.833,1007.5,4066.333,138.167,KS,Lawrence,5486.0
474,"Lawrenceburg, TN Micro Area",44159.0,1117.0,41442.0,1600.0,41145.15,897.4,220.9,226.083,539.733,12.733,TN,Lawrenceburg,233.633
475,"Lawton, OK Metro Area",126652.0,17006.0,98733.0,10913.0,73236.817,20985.4,3997.567,1021.117,9374.233,1030.867,OK,Lawton,5028.434
476,"Lebanon, MO Micro Area",36039.0,955.0,33219.0,1865.0,33393.983,399.15,257.733,262.917,733.483,36.733,MO,Lebanon,294.466
477,"Lebanon, NH-VT Micro Area",221211.0,5108.0,205977.0,10126.0,203812.75,2208.7,4717.65,2376.433,2863.317,124.15,NH,Lebanon,4841.799999999999
478,"Lebanon, PA Metro Area",143257.0,20348.0,119369.0,3540.0,115685.267,3096.1,2484.183,874.217,692.933,76.3,PA,Lebanon,2560.483
479,"Levelland, TX Micro Area",21537.0,10624.0,10511.0,402.0,9946.167,615.167,59.167,94.833,189.167,8.5,TX,Levelland,67.667
480,"Lewisburg, PA Micro Area",42681.0,2000.0,39525.0,1156.0,36612.333,2588.733,949.233,241.233,272.4,17.067,PA,Lewisburg,966.3
481,"Lewisburg, TN Micro Area",34318.0,2235.0,30618.0,1465.0,28969.367,2277.2,179.533,226.033,416.0,14.867,TN,Lewisburg,194.39999999999998
482,"Lewiston, ID-WA Metro Area",64375.0,2545.0,58614.0,3216.0,56435.2,475.7,766.2,597.583,3413.867,141.45,ID,Lewiston,907.6500000000001
483,"Lewiston-Auburn, ME Metro Area",111139.0,2222.0,104014.0,4903.0,98229.25,7049.583,1192.25,916.833,1445.75,83.333,ME,Lewiston-Auburn,1275.583
484,"Lewistown, PA Micro Area",46143.0,979.0,43982.0,1182.0,43918.833,499.0,234.0,215.667,289.833,6.667,PA,Lewistown,240.667
485,"Lexington, NE Micro Area",26004.0,8738.0,16816.0,450.0,15485.667,1235.333,223.833,119.167,148.667,53.333,NE,Lexington,277.166
486,"Lexington-Fayette, KY Metro Area",516811.0,40213.0,454454.0,22144.0,389931.6,61190.083,16872.417,3845.35,4377.883,380.667,KY,Lexington-Fayette,17253.084000000003
487,"Liberal, KS Micro Area",21964.0,14406.0,7165.0,393.0,6108.25,669.417,554.0,61.167,154.75,10.417,KS,Liberal,564.417
488,"Lima, OH Metro Area",102206.0,3272.0,93817.0,5117.0,82082.0,13843.25,1027.083,935.75,984.25,61.667,OH,Lima,1088.75
489,"Lincoln, IL Micro Area",27987.0,818.0,26249.0,920.0,24897.7,1639.867,224.533,144.867,248.167,13.867,IL,Lincoln,238.39999999999998
490,"Lincoln, NE Metro Area",340217.0,26340.0,299169.0,14708.0,275250.8,16183.717,15635.383,2651.583,3834.467,321.05,NE,Lincoln,15956.432999999999
491,"Little Rock-North Little Rock-Conway, AR Metro Area",748031.0,52786.0,659949.0,35296.0,485210.183,177429.1,15936.483,5195.3,10842.35,631.583,AR,Little Rock-North Little Rock-Conway,16568.066
492,"Lock Haven, PA Micro Area",37450.0,662.0,35688.0,1100.0,35457.383,527.05,280.383,202.667,300.883,19.633,PA,Lock Haven,300.01599999999996
493,"Logan, UT-ID Metro Area",147348.0,16099.0,127279.0,3970.0,123974.633,1375.8,2888.717,851.25,1276.633,881.967,UT,Logan,3770.684
