city,count,body_camera
Swansea,1,0
Sweetwater,1,0
Sylvania,1,0
Tahoka,1,0
Sumrall,1,0
Summerville,1,0
Summerlin,1,0
Sumas,1,0
Sugarcreek,1,1
Sugar Land,1,0
Sugar House,1,0
Suffolk,1,1
Suffield,1,0
Stutsman County,1,0
Studio City,1,0
Struthers,1,0
Strong,1,0
Strasburg,1,0
Straban Township,1,0
Stovall,1,0
Stoneville,1,0
Talihina,1,0
Talladega,1,0
Tangipahoa Parish,1,0
Thomas County,1,0
Tiverton,1,0
Tishomingo,1,0
Timberlake,1,0
Tillamook County,1,0
Tigard,1,0
Tiffin,1,0
Thurston County,1,0
Thurmont,1,0
Three Springs,1,0
Three Points,1,0
Three Forks,1,0
Thousand Oaks,1,1
Thonotosassa,1,0
Thompson,1,0
The Villages,1,0
Taos Pueblo,1,0
The Village,1,1
The Dalles,1,0
The Colony,1,0
Tewksbury,1,0
Tesuque,1,0
Terrell,1,0
Templeton,1,0
Temple Terrace,1,0
Tellico Plains,1,0
Tehama County,1,0
Tehachapi,1,0
Taylor,1,0
Taunton,1,0
Tate County,1,0
Waldoboro,1,0
Walla Walla,1,0
Port Richey,1,0
Wilkesboro,1,0
Whitfield County,1,0
Wichita  Falls,1,0
Wilburton,1,0
Wilcox,1,0
Wilderville,1,0
Wilhoit,1,0
Williams Township,1,0
Windham Township,1,0
Williamsburg,1,0
Williamsport,1,0
Willits,1,0
Willoughby,1,0
Wilmore,1,0
Wilson,1,0
Whitewright,1,0
Whitewater,1,0
Whiteville,1,0
White Plains,1,0
White Lake,1,0
White,1,0
Whitby,1,0
Wheeling,1,0
Wheat Ridge,1,0
Weymouth,1,0
Wewoka,1,0
Wetumpka,1,0
Wetumka,1,0
Wethersfield,1,0
Westwego,1,0
Westover,1,0
Westmoreland,1,0
Wilsonville,1,0
Windsor,1,0
Wallkill,1,1
Wytheville,1,0
Woolwine,1,0
Woonsocket,1,0
Worcester,1,0
Wylie,1,0
Wynne,1,0
Wythe County,1,0
Yellville,1,0
Wink,1,0
Yerington,1,0
Yorba Linda,1,0
Yorkville,1,0
Youngstown,1,1
Youngtown,1,0
Zanesville,1,0
Woodstock,1,0
Woodland,1,0
Woodford,1,0
Wood River,1,0
Wood Lake,1,0
Wolfe County,1,0
Wolfe City,1,1
Wolf Creek,1,0
Wolcott,1,0
Wisner,1,0
Winthrop,1,0
Winters,1,0
Winter Park,1,1
Winstom-Salem,1,0
Winooski,1,1
Winnsboro,1,0
Winnie,1,0
Westlake,1,0
Westborough,1,0
West Wendover,1,0
Watertown,1,0
Washoe,1,0
Watagua,1,0
Watauga,1,0
Watauga County,1,0
Waterbury,1,0
Waterloo,1,0
Waterville,1,0
West Terre Haute,1,0
Watkins,1,0
Watsonsville,1,0
Watsonville,1,1
Watts,1,0
Wayne,1,0
Webb City,1,0
Washita County,1,0
Washington Township,1,0
Washington Park,1,0
Washington Court House,1,0
Warrenville,1,0
Warrenton,1,0
Warren County,1,0
Warner Robins,1,0
Wapato,1,0
Wamego,1,0
Walton County,1,0
Walterboro,1,0
Walter Hill,1,0
Walpole,1,0
Walnut,1,0
Walls,1,0
Walloon Lake,1,0
Webbers Falls,1,0
Webster City,1,0
Webster Groves,1,0
West Chester,1,0
West Springfield,1,0
West Ouachita,1,0
West Olive,1,0
West New York,1,0
West Monroe,1,0
West Milford,1,0
West Melbourne,1,0
West Linn,1,0
West Knox,1,0
West Kewaunee,1,0
West Kendall,1,0
West Haven,1,1
West Goshen,1,0
West Fargo,1,0
West Carson,1,0
Weeki Wachi,1,0
West Burlington,1,1
West Brattleboro,1,0
West Ashley,1,1
West Allis,1,0
Wesson,1,0
Wentzville,1,0
Wendell,1,0
Wellman,1,0
Welcome,1,0
Welches,1,0
Welch,1,0
Weitchpec,1,0
Weirton,1,0
Weippe,1,0
Stockton Lake,1,0
Stewartstown,1,0
Stewart County,1,0
Rockwall,1,0
Roane County,1,0
Roanoke County,1,0
Robbinsdale,1,1
Rock Falls,1,0
Rockledge,1,0
Rocklin,1,0
Rockwood,1,0
Rome,1,0
Rocky Face,1,0
Rogers,1,0
Rogers County,1,0
Rogersville,1,0
Rogue River,1,0
Roland,1,0
Roan Mountain,1,0
Riverside County,1,1
Riverbank,1,0
River Forest,1,0
Ritzville,1,0
Rio Rico,1,0
Rio Rancho,1,0
Rio Bravo,1,0
Rincon,1,0
Rigby,1,0
Rifle,1,0
Riesel,1,0
Ridgefield,1,0
Richton Park,1,1
Richmond Heights,1,0
Richmond County,1,0
Richlands,1,0
Romance,1,0
Romeoville,1,0
Steubenville,1,0
Rutledge,1,0
Rufe,1,0
Rush Springs,1,1
Ruskin,1,0
Ruth,1,0
Rutherford County,1,0
Rutherfordton,1,0
Safford,1,0
Romulus,1,0
Salacoa,1,0
Salcha,1,0
Sale Creek,1,0
Saline County,1,0
Salt River Reservation,1,0
Saltlick Township,1,0
Rudioso,1,0
Roxboro,1,0
Roxand Township,1,1
Rowland Heights,1,0
Rowland,1,0
Rowe,1,0
Round Lake,1,0
Rotterdam,1,0
Rosser,1,1
Ross Township,1,0
Roslindale,1,0
Rosemead,1,0
Rosedale,1,0
Rose Bud,1,0
Rosalia,1,1
Roosevelt,1,1
Ronda,1,0
Richland,1,0
Richfield,1,0
Rib Mountain,1,0
Progreso,1,0
Pratt,1,0
Prescott Valley,1,0
Preston,1,0
Prewitt,1,0
Priceville,1,0
Pride,1,0
Prompton,1,0
Reynoldsville,1,1
Providence,1,1
Pryor,1,0
Pueblo West,1,1
Pueblo of Laguna,1,1
Putnam Hall,1,0
Putnamville,1,0
Prague,1,0
Powhatan County,1,0
Powell County,1,0
Poway,1,0
Powatan Point,1,0
Poultney,1,0
Poulsbo,1,0
Pottawatomie County,1,0
Potsdam,1,0
Potomac,1,1
Poteet,1,0
Poteau,1,0
Porterdale,1,0
Porteau,1,0
Port Wentworth,1,1
Port St. Joe,1,0
Port Salerno,1,0
Quanah,1,0
Quinlan,1,0
Raceland,1,0
Rector,1,0
Rex,1,0
Revere,1,0
Republic,1,0
Reisterstown,1,0
Reidsville,1,0
Rehoboth Beach,1,0
Refugio,1,0
Reedsport,1,0
Reedley,1,0
Redmond,1,0
Redford Township,1,0
Red Valley,1,0
Red River Parish,1,0
Red Bud,1,0
Reagan,1,0
Ragley,1,0
Reading Township,1,1
Raytown,1,0
Raymond,1,0
Ray City,1,0
Rawlins,1,0
Ravenna Township,1,0
Rantoul,1,1
Rankin County,1,0
Rangley,1,1
Randolph County,1,0
Rancho Santa Margarita,1,0
Ranburne,1,0
Ramseur,1,0
Rainbow City,1,0
San Andreas,1,1
San Carlos Park,1,0
San Clemente,1,0
South Knoxville,1,0
Sonora,1,0
South Connellsville,1,0
South Elgin,1,0
South Greensburg,1,0
South Hill,1,0
South Jordan,1,0
South Los Angeles,1,0
Simms,1,0
South Milwaukee,1,0
South Sioux City,1,0
South Whitehall Township,1,0
Southfield,1,0
Southington,1,0
Spanish Springs,1,0
Somerville,1,0
Somerton,1,0
Somerset County,1,0
Somerset,1,0
Solvang,1,0
Sodus,1,1
Soddy Daisy,1,0
Snook,1,0
Snohomish,1,0
Sneads,1,0
Smithville,1,0
Smithfield Township,1,0
Smartsville,1,0
Sissonville,1,0
Sioux City,1,0
Sims,1,0
Simpsonville,1,0
Sparkman,1,0
Spartanburg County,1,0
Spenard,1,0
St. Michaels,1,0
Stead,1,1
Statesville,1,0
Staten Island,1,0
State College,1,0
Starke County,1,0
Starke,1,0
Star,1,0
Stanwood,1,0
Stanley,1,0
Stanfordville,1,0
Standing Rock Reservation,1,0
Stamford,1,0
Stafford,1,0
St. Tammany Parish,1,0
St. Martin,1,0
Sperry,1,1
St. Louis Park,1,0
St. Joseph County,1,0
St. James,1,0
St. Helena Parish,1,0
St. Francis County,1,0
St. Croix Falls,1,0
St. Clair Township,1,0
St. Clair Shores,1,0
St. Clair County,1,0
Spruce Pine,1,0
Springtown,1,0
Spring Lake,1,0
Spotsylvania,1,0
Splendora,1,0
Simpsonsville,1,0
Simi Valley,1,1
San Diego County,1,0
Scottsbluff,1,0
Saranac Lake,1,0
Saratoga,1,0
Saugus,1,0
Scappoose,1,0
Scarbo,1,0
Schulter,1,0
Scottsville,1,0
Silverton,1,1
Seabrook,1,0
Seaford,1,0
Seagoville,1,0
Searcy County,1,0
Sebewaing,1,0
Secaucus,1,0
Sapulpa,1,0
Santee,1,0
Santa Rosa,1,1
Santa Paula,1,0
Santa Nella,1,0
Santa Monica,1,0
Santa Fe Springs,1,0
Santa Cruz,1,0
Sanger,1,0
Sandy Springs,1,0
Sandy,1,0
Sandia,1,0
Sanders,1,0
San Tan Valley,1,0
San Rafael,1,0
San Mateo,1,0
San Manuel,1,0
Sedro-Woolley,1,0
Seekonk,1,0
Seguin,1,0
Shelley,1,0
Silver Springs,1,0
Silsbee,1,0
Siler City,1,0
Signal Hill,1,0
Sierra Vista,1,0
Sierra Blanca,1,0
Sidney,1,0
Show Low,1,0
Shorewood,1,0
Shoreline,1,0
Shiprock,1,0
Sherwood,1,0
Sherman Oaks,1,0
Sheridan,1,0
Shelby Gap,1,0
Selawik,1,0
Shawnee National Forest,1,0
Sharpsburg,1,0
Sharon Hill,1,0
Sharon,1,0
Shallotte,1,0
Shaler Township,1,0
Shakopee,1,0
Shafter,1,0
Seymour,1,0
Seward,1,1
Seville,1,1
Sergeant Bluff,1,0
Seneca,1,0
Seminole,1,0
Myrtle Creek,1,0
300 block of State Line Road,1,0
Myra,1,0
Costa Mesa,1,0
Coon Rapids,1,1
Copper Center,1,1
Coral Springs,1,0
Coram,1,0
Cordova,1,0
Corvallis,1,1
Cosby,1,0
Cottage Grove,1,0
Cofield,1,0
Cotter,1,0
Cottonwood Heights,1,0
Counce,1,0
Council,1,1
Council Bluffs,1,0
Coushatta,1,0
Cowley County,1,0
Coolin,1,0
Cookson,1,0
Cooke County,1,0
Conyers,1,0
Colbert,1,0
Colby,1,0
Colebrook Township,1,0
Coleman,1,0
College Park,1,0
Collierville,1,0
Colonial Heights,1,0
Columbia Heights,1,0
Columbiana,1,0
Columbua,1,0
Coney Island,1,0
Conshohocken,1,0
Constantia,1,0
Converse,1,0
Conway,1,0
Cranbury Township,1,0
Crawfordsville,1,0
Crenshaw County,1,0
Cypress,1,1
Dadeville,1,1
Dahlonega,1,0
Dakota City,1,0
Dalhart,1,0
Dalzell,1,0
Danbury,1,0
Dandridge,1,0
Daphne,1,0
Davidson County,1,0
Davidsonville,1,0
Davie,1,0
Daviess County,1,0
De Soto,1,0
DeKalb,1,0
DeRidder,1,0
Dade City,1,0
Cuthbert,1,0
Crest Hill,1,0
Cushing,1,0
Creston,1,0
Crestview,1,0
Crestwood,1,0
Crofton,1,0
Crosby,1,0
Cross Lanes,1,0
Crowell,1,0
Crown Point,1,0
Crownpoint,1,0
Crystal,1,0
Crystal Springs,1,0
Cuba,1,0
Cullman County,1,0
Culver,1,0
Culver City,1,0
Cohasset,1,0
Coeur d’Alene,1,0
Channelview,1,0
Chowchilla,1,0
Chicago Heights,1,0
Chickamauga,1,0
Childress,1,0
Chillicothe,1,0
Chinle,1,0
Chino Hills,1,0
Chisholm,1,0
Christian County,1,0
Coeburn,1,0
Chunchula,1,0
Churchland,1,0
Circleville,1,0
Cisco,1,0
Citra,1,1
Citronelle,1,0
Citrus Heighs,1,0
Chetopa,1,0
Chestertown,1,1
Chesterfield County,1,0
Chesaning,1,0
Chaparral,1,0
Chapeno,1,0
Charleston View,1,0
Charlottesville,1,0
Chase City,1,0
Chaska,1,1
Chatham County,1,1
Chatsworth,1,0
Chavies,1,0
Cheatham County,1,0
Cheektowaga,1,0
Chehalis,1,0
Chelsea,1,0
Cheney,1,0
Cherokee County,1,0
City Terrace,1,1
Claiborne County,1,0
Claremore,1,0
Clearlake Oaks,1,0
Clemson,1,0
Clendenin,1,0
Clines Corners,1,0
Cloverdale,1,0
Cloverleaf,1,0
Clute,1,0
Coachella,1,0
Coal County,1,0
Coalinga,1,0
Cochran,1,0
Cochran County,1,0
Cocke County,1,0
Cocoa Beach,1,0
Coconut Creek,1,0
Coden,1,0
Clearlake Park,1,1
Clear Lake Shores,1,0
Clarendon,1,0
Clear Creek County,1,0
Clark County,1,0
Clarkdale,1,0
Clarkesville,1,0
Clarkrange,1,0
Clarksburg,1,0
Clarksdale,1,0
Clarkville,1,0
Claxton,1,0
Clay,1,0
Clay County,1,0
Claymont,1,0
Clayton,1,0
Clayton County,1,1
Cle Elum,1,0
Clear Creek Canyon,1,0
DeSoto,1,0
DeSoto County,1,0
Dearborn County,1,0
Emery County,1,0
Elkins,1,0
Elkmont,1,0
Ellis Township,1,0
Elmendorf,1,0
Elmwood Place,1,0
Elsmere,1,0
Elyria,1,0
Emmitsburg,1,0
Decatur County,1,1
Emporia,1,0
England,1,0
English,1,0
Enid,1,0
Enoree,1,0
Epping,1,0
Erie,1,0
Elkhorn,1,0
Elk Plain,1,0
Elizabethon,1,0
Elizabeth City,1,1
Eclectic,1,0
Eden,1,0
Edgewater,1,1
Edmonds,1,0
Edmonton,1,0
Edmore,1,0
Edmund,1,0
Efland,1,0
Ehrenberg,1,0
El Cerrito,1,1
El Paso County,1,0
Elberton,1,0
Eldorado,1,1
Eldorado Springs,1,0
Elgin,1,1
Ernul,1,0
Escalon,1,0
Escambia County,1,1
Falcon Heights,1,1
Falls Church,1,0
Falls Township,1,0
Falmouth,1,0
Fargo,1,0
Farmingdale,1,0
Farmville,1,0
Fayette,1,0
Fayette County,1,0
Federal Heights,1,0
Findlay,1,0
Finney County,1,0
Fishers,1,0
Fisty,1,0
Fleetwood,1,0
Fletcher,1,0
Falfurrias,1,0
Fairland,1,0
Espanola,1,0
Fairhope,1,0
Estancia,1,0
Estero,1,0
Estill Springs,1,1
Ethel,1,0
Etowah,1,0
Euclid,1,1
Eureka County,1,0
Evangeline Parish,1,0
Evans County,1,0
Evanston,1,0
Everton,1,0
Fairborn,1,0
Fairburn,1,0
Fairchance,1,0
Fairchild,1,0
Eckford Township,1,0
Ebey Island,1,0
Eaton Rapids Township,1,0
Dewey Beach,1,0
Dickson,1,0
Diggins,1,0
Dilley,1,1
Dillon,1,0
Dime Box,1,0
Dinosaur,1,0
Discovery Bay,1,0
District Heights,1,0
Dixon,1,0
Doddridge County,1,0
Dolgeville,1,0
Dora,1,0
Doral,1,0
Dorchester,1,0
Dos Palos,1,1
Dexter,1,0
Devils Lake,1,0
Dover Township,1,0
Devil's Lake,1,1
Defiance,1,0
Del City,1,0
Del Mar,1,0
Del Norte County,1,0
Deland,1,0
Delaware,1,0
Delaware Township,1,0
Delhi,1,0
Delta Township,1,1
Demming,1,0
Demopolis,1,0
Deposit,1,0
Deptford,1,0
Des Plaines,1,0
Desha,1,0
Douglas City,1,0
Downey,1,0
Eastaboga,1,0
Dyersburg,1,0
Eagle Point,1,0
Eagle River,1,0
Easley,1,0
East Bernstadt,1,0
East Flat Rock,1,0
East Hartford,1,0
East Hollywood,1,0
East Los Angeles,1,0
East Northport,1,0
East Peoria,1,0
East Ridge,1,0
East St. Louis,1,0
East Stroudsburg,1,0
East Troy,1,0
East Wenatchee,1,0
Eagle Mountain,1,0
Dyer,1,0
Doyline,1,0
Durango,1,0
Doña Ana County,1,0
Draper,1,1
Drennen,1,0
Duarte,1,0
Dublin,1,0
Ducor,1,0
Dumas,1,0
Dumfries,1,0
Duncan,1,0
Duncanville,1,0
Dundalk,1,1
Dundee,1,0
Dunkirk,1,0
Dunnellon,1,0
Dunwoody,1,0
Chanute,1,0
Chanhassen,1,1
Floresville,1,0
Bath,1,1
Bartlett,1,0
Barton,1,0
Barton County,1,0
Bascom,1,0
Basin,1,0
Bass River,1,1
Bastrop,1,0
Battle Ground,1,0
Avon Park,1,0
Baxter,1,0
Baxter Springs,1,0
Bay Minette,1,0
Bayard,1,0
Baylor County,1,0
Bayonne,1,1
Beach Park,1,0
Bartholomew County,1,0
Barrow,1,0
Barona Indian Reservation,1,0
Barnwell,1,0
Backus,1,0
Bacliff,1,0
Bagley Township,1,0
Bahama,1,0
Bainbridge,1,0
Bainbridge Island,1,0
Balch Springs,1,1
Baldwin County,1,0
Baldwin Hills,1,0
Bandon,1,0
Bangor,1,0
Banning,1,0
Barberton,1,0
Barberville,1,0
Bardstown,1,0
Beacon,1,0
Beasley,1,0
Beatrice,1,0
Benton City,1,0
Berea,1,0
Berne,1,0
Bernice,1,0
Berwick,1,0
Bethany,1,0
Bethel Springs,1,0
Bethel Township,1,0
Beverly Hills,1,0
Bibb County,1,0
Big Bear,1,0
Big Lake,1,0
Big Springs,1,0
Big Sur,1,0
Bigfork,1,0
Bingham County,1,0
Benton Township,1,0
Bennington Township,1,0
Beaver,1,0
Bemidji,1,1
Beaver Township,1,0
Beckville,1,0
Bedford,1,0
Beech Grove,1,0
Beeville,1,0
Belcourt,1,0
Belen,1,0
Belgrade,1,0
Bell,1,0
Bell County,1,0
Belle Glade,1,0
Bellingham,1,1
Bellville,1,1
Belmont,1,0
Beloit,1,0
Aztec,1,1
Avenal,1,0
Champaign,1,0
Amelia Island,1,0
Allenhurst,1,0
Alliance,1,0
Alta Sierra,1,0
Altadena,1,0
Alvarado,1,0
Alvin,1,0
Alvo,1,0
Amherst County,1,0
Avella,1,0
Amite,1,0
Amity,1,0
Ammon,1,0
Anchor Point,1,0
Anderson County,1,0
Andrews,1,0
Angel Fire,1,0
Alhambra,1,1
Algona,1,0
Algoma Township,1,0
Alford,1,0
Abington Township,1,0
Addison,1,0
Adrian,1,0
Affton,1,0
Aguanga,1,0
Ahwatukee,1,0
Aiea,1,0
Aiken County,1,0
Airway Heights,1,1
Aitkin,1,0
Albert Lea,1,0
Albion,1,1
Alderwood Manor,1,0
Aldie,1,0
Alexander,1,0
Aniak,1,0
Ankeny,1,1
Anniston,1,0
Ariton,1,0
Arkoma,1,0
Arleta,1,1
Arnold,1,0
Arpin,1,0
Arundel,1,0
Arvonia,1,0
Ashe County,1,1
Asheboro,1,0
Ashtabula Township,1,0
Ashwaubenon,1,0
Aspers,1,0
Assaria,1,0
Assumption Parish,1,0
Atascadero,1,0
Atmore,1,0
Arizona City,1,0
Arietta,1,0
Anoka,1,1
Ardsley,1,0
Anson County,1,0
Ansonia,1,1
Antelope,1,0
Antigo,1,0
Antlers,1,0
Apopka,1,0
Apple Creek,1,1
Apple Valley,1,0
Arab,1,0
Aragon,1,0
Aragonite,1,0
Araphoe County,1,0
Arcata,1,0
Arcola,1,0
Ardmore,1,0
Birch River,1,0
Bisbee,1,0
Bixby,1,0
Calhoun County,1,0
Caddo Parish,1,0
Cade,1,0
Cairo,1,1
Calabasas,1,0
Calaveras County,1,0
Caledonia,1,0
Calhoun,1,0
California City,1,0
Black Diamond,1,0
Calimesa,1,0
Calypso,1,0
Camden County,1,1
Camp Croft,1,0
Camp Wood,1,0
Campbell County,1,0
Campbellton,1,0
Cabazon,1,0
Byram,1,0
Byng,1,0
Byars,1,0
Buena Vista,1,0
Buffalo Grove,1,0
Bull Shoals,1,0
Bullhead City,1,0
Bulls Gap,1,0
Bunch,1,0
Burnet,1,1
Burns,1,0
Burns Flat,1,0
Burton,1,0
Bushnell,1,0
Butler,1,0
Butler Township,1,0
Butte,1,1
Butte County,1,0
Campbelltown,1,0
Campobello,1,0
Canaan,1,0
Carterville,1,0
Cary,1,0
Cass County,1,0
Casselberry,1,0
Catasauqua,1,0
Cato Township,1,0
Cave City,1,0
Cayce,1,0
Cañon City,1,0
Cedar City,1,0
Cedar Lake,1,0
Cedartown,1,0
Central Point,1,1
Centralia,1,0
Chalmette,1,0
Chambersburg,1,0
Cartwright,1,0
Carter County,1,0
Canaan Township,1,0
Carrollwood,1,0
Canandaigua,1,0
Canetuck,1,0
Caneyville,1,0
Canon City,1,0
Canton Township,1,0
Cantonment,1,0
Canutillo,1,0
Cape Canaveral,1,0
Cape Girardeau,1,0
Cape Girardeau County,1,0
Capitol Heights,1,0
Carnesville,1,0
Caroline County,1,0
Carollwood,1,0
Carrizozo,1,0
Buena Park,1,0
Buckhannon,1,0
Buchanan,1,0
Bogalusa,1,0
Bolivar,1,0
Bon Aqua,1,0
Bonaire,1,0
Bonne Terre,1,0
Bonnyman,1,0
Booneville,1,0
Boonville,1,0
Boring,1,0
Boron,1,0
Boswell,1,0
Bothell,1,0
Boulder City,1,0
Boulder Creek,1,0
Bountiful,1,0
Bowling Green,1,0
Boiling Springs,1,0
Blytheville,1,1
Box Elder,1,0
Bluff City,1,0
Black River Falls,1,1
Blackfoot,1,0
Blackman Township,1,0
Blacksburg,1,0
Blackwell,1,0
Blair,1,0
Bloomfield,1,0
Bloomfield Township,1,0
Bloomington,1,0
Bloomsburg,1,0
Blount County,1,0
Blountville,1,0
Blue Hill,1,0
Blue Summit,1,0
Bluefield,1,0
Bowlus,1,1
Boyle Heights,1,1
Bryant,1,0
Brick Township,1,0
Bridgeton,1,0
Bridgeview,1,0
Bridgewater,1,0
Brighton Township,1,0
Bristol Township,1,0
Brodhead,1,0
Brookhaven,1,0
Brooklet,1,0
Brookline,1,0
Brookshire,1,0
Broomfield,1,0
Broward County,1,0
Brown City,1,0
Brownstown,1,0
Bruce,1,0
Bridgeport,1,0
Brick,1,0
Boyton Beach,1,0
Brewster County,1,0
Bozeman,1,0
Bracketville,1,0
Bradley,1,0
Bradley County,1,0
Braham,1,0
Brandon,1,0
Brandywine,1,0
Brawley,1,0
Braxton,1,0
Braxton County,1,0
Brea,1,0
Breaux Bridge,1,0
Bremerton,1,0
Brentwood,1,0
Brevard,1,0
Florence County,1,1
Florida City,1,0
Myerstown,1,0
Logan Canyon,1,0
Livingston Parish,1,0
Lizella,1,0
Lockhart,1,0
Locust,1,0
Locust Grove,1,0
Lodge Grass,1,0
Logan,1,0
Logan County,1,0
Lewisburg,1,0
Logan Township,1,0
Loma,1,0
Loma Linda,1,0
Lone Rock,1,0
Lone Tree,1,0
Long Branch,1,0
Longmont,1,0
Livermore,1,0
Littlefield,1,0
Little Orleans,1,0
Little Mountain,1,0
Liberty Township,1,0
Lilburn,1,0
Limerick,1,0
Lincoln CIty,1,0
Lincoln Parish,1,0
Lincoln Township,1,0
Lincolnton,1,0
Linthicum,1,0
Linwood,1,0
Lisle,1,0
Lithia Springs,1,0
Lithonia,1,0
Little Egg Harbor,1,0
Little Egg Harbor Township,1,0
Little Havana,1,0
Lonoke,1,1
Looxahoma,1,1
Lorena,1,0
Lynnwood,1,0
Lyons,1,0
Mabank,1,0
Mackinaw,1,0
Macon County,1,1
Macoupin County,1,0
Madera County,1,0
Madison Heights,1,0
Madison Parish,1,0
Madisonville,1,0
Maeystown,1,0
Magna,1,0
Magnolia,1,0
Mahoning Township,1,0
Malbis,1,1
Malone,1,0
Lynwood,1,0
Lyndhurst,1,0
Lovelock,1,0
Lynchburg,1,0
Lovington,1,0
Lower Burrell,1,0
Lower Macungie Township,1,0
Lower Mount Bethel,1,0
Lowndes County,1,0
Loxahatchee,1,0
Loyal,1,0
Lucedale,1,0
Lucerne,1,0
Lucerne Valley,1,0
Ludlow,1,1
Ludowici,1,0
Lumpkin,1,0
Luray,1,0
Luverne,1,0
Lewiston,1,0
Lewis County,1,0
Kingwood,1,0
Lake Elmo,1,0
Lady Lake,1,0
Laguna,1,0
Laguna Niguel,1,0
Laguna Pueblo,1,0
Laguna Woods,1,0
Lake Asbury,1,0
Lake City,1,0
Lake Hallie,1,0
Lewes,1,0
Lake Havasu,1,1
Lake Mary,1,0
Lake Mead,1,0
Lake Placid,1,0
Lake View,1,0
Lake Worth,1,0
Lakemoor,1,0
Ladera Heights,1,0
Lacy Lakeview,1,0
Lacombe,1,0
LaSalle,1,0
Kiowa,1,0
Kirkwood,1,0
Kissimmee,1,0
Kittitas,1,0
Knowlton Township,1,0
Knox,1,0
Kountze,1,0
Kuna,1,1
Kyle,1,0
La Crosse,1,0
La Mirada,1,0
La Paz County,1,0
La Plata,1,0
La Porte,1,0
La Vergne,1,0
Lakes Charles,1,0
Lakes Wales,1,0
Lakeshire,1,0
Leadwood,1,0
Lee,1,0
Lee County,1,0
Lee's Summit,1,0
Leedey,1,0
Leeds,1,0
Lehigh,1,0
Leicester,1,0
Lena,1,0
Lenexa,1,0
Leon,1,0
Leon County,1,0
Leonardtown,1,0
Leonia,1,0
Leroy Township,1,0
Levelland,1,0
Leavenworth,1,0
Lead,1,0
Lakeville,1,0
Laytonsville,1,0
Lame Deer,1,0
Lamont,1,0
Lampe,1,0
Lancaster City,1,0
Lander,1,0
Landrum,1,1
Langley,1,0
Lanham,1,0
Latta,1,0
Lauderdale Lakes,1,1
Lauderhill,1,0
Laurens County,1,0
Lawrence County,1,1
Lawtey,1,0
Layton,1,0
Malta,1,0
Malvern,1,0
Mamou,1,0
Montesano,1,0
Monon,1,0
Monongalia,1,1
Monroeville,1,0
Montclair,1,0
Montegut,1,0
Monterey,1,0
Monterey Township,1,0
Montezuma Creek,1,0
Manatee,1,0
Montgomery County,1,0
Montgomery Creek,1,0
Montgomery Village,1,1
Monticello,1,0
Montrose County,1,0
Moore,1,0
Mooresville,1,0
Monett,1,0
Moncks Corner,1,0
Molena,1,0
Mocksville,1,0
Midway,1,1
Midwest City,1,0
Milcreek,1,0
Millcreek,1,0
Millerton,1,0
Millston,1,1
Miltona,1,1
Mingo County,1,0
Minneola,1,0
Minot,1,0
Mira Loma,1,0
Mishawaka,1,1
Mississippi County,1,0
Missouri City,1,0
Mitchell,1,0
Moorland,1,0
Mora,1,0
Morehead,1,0
Mountain Iron,1,0
Mountain View,1,0
Mt Airy,1,0
Mt. Auburn,1,1
Mt. Pleasant,1,0
Muckleshoot Indian Reservation,1,0
Mufreesboro,1,0
Muhlenberg County,1,0
Muhlenberg Township,1,0
Munster,1,0
Murphy,1,0
Murray,1,0
Murrieta,1,1
Muscle Shoals,1,0
Muscoy,1,0
Mustang,1,0
Mountain Pine,1,0
Mountain Home,1,0
Morenci,1,0
Mountain Grove,1,0
Morgan County,1,0
Morganton,1,0
Moriarty,1,0
Morris Township,1,0
Moscow,1,0
Moses Lake,1,0
Mott,1,0
Moultrie,1,0
Mounds View,1,1
Mount Hermon,1,0
Mount Holly,1,0
Mount Pleasant,1,0
Mount Pleasant Township,1,0
Mount Vernon,1,0
Mount Washington,1,0
Midvale,1,0
Midlothian,1,0
Middleton,1,1
Markham,1,0
Marrero,1,1
Mars Hill,1,0
Marshall,1,0
Martelle,1,0
Martinez,1,0
Martins Ferry,1,0
Martinsville,1,1
Maryland Heights,1,0
Maryneal,1,0
Mascotte,1,0
Mason,1,0
Mason County,1,0
Maspeth,1,1
Mathis,1,0
Maui,1,0
Marksville,1,1
Marion County,1,0
Maury County,1,0
Marinette County,1,0
Mandarin,1,1
Mandeville,1,0
Manhasset,1,0
Manhattan,1,1
Manistee,1,0
Manitou Springs,1,0
Manitowoc,1,0
Manlius,1,0
Mannford,1,0
Mannington,1,0
Manorville,1,0
Mantoloking,1,0
Mantua Township,1,1
Marina,1,0
Marine City,1,0
Maurice River,1,0
Maysville,1,0
Middleburg,1,0
Mecklenburg,1,0
Medina,1,0
Melba,1,0
Mena,1,0
Menasha,1,0
Mercury,1,0
Meredith,1,0
Meridianville,1,1
Merrick,1,0
Merrillville,1,0
Merrimack,1,0
Mexico Beach,1,0
Miami Shores,1,0
Miami-Dade,1,0
Micanopy,1,0
Middle River,1,0
Medicine Lodge,1,0
Mecca,1,0
Maywood,1,0
Meadowlake,1,0
McCammon,1,0
McCracken County,1,0
McDonald,1,1
McDowell,1,0
McDowell County,1,0
McIntosh County,1,0
McKinneyville,1,0
McLaughlin,1,0
McLean,1,1
McLemoresville,1,0
McLoud,1,0
McPherson,1,0
Mead Township,1,0
Meadow Bridge,1,0
Meadow Vista,1,0
Kinston,1,0
